30					
5					
-125.4	-148.5	154.9	39.8	173.5	-38.1
-114.5	109.8	78.9	166.5	-143.9	-111.3
50.3	-106.4	20	21.3	-113.4	-134.2
-999.9	233.1	149.9	-105	-2.1	60
99.3	-18.3	-33.2	69.8	-14.8	-126.4
229.9	95.9	178.1	-17.2	238.8	142.5
-54.1	-59.3	-40.1	107	225.1	44.1
-54.4	-60.3	149.9	17.5	-30.8	-143.8
78.6	-103.1	227.5	-62.8	196.3	-94
-83.9	199.8	236.1	-26.1	-80.3	113.2
-66.2	174.1	221.6	44.8	-53.3	92.8
-120.6	27.4	114.5	6.7	49	125.8
229.3	-54.5	75.6	-144.6	-35.8	-31.7
100.9	-126.3	-54.9	-62.9	164.9	29.6
73	236.7	105.7	211.5	155.7	35.7
-4.8	-110.5	-106.8	160.7	-8.4	162.9
-55.8	133.5	39.2	-78.6	102.9	-1.5
-82.1	-17.9	-6.3	-999.9	135.2	16.9
164.6	-65	6.3	-999.9	147.8	-101.4
-149.3	128.6	-19.5	-89.5	29.5	-91.3
234.9	-80.3	208.5	75.9	-127	-107.6
137.4	199.4	-127.7	130.8	-3.8	-31.5
-52.8	110.3	53.5	140.1	-29.8	10.3
-999.9	-139.7	-18.1	215.6	123.2	-33.1
62.8	-9.9	-87.3	152.9	-36.4	-108.4
10.2	168.1	174.6	-127.7	99	27.6
-140	12.3	70.9	-8.8	228.3	151.6
120.4	-115.8	-110.3	-104	161	57.2
-74.3	200.1	-53.6	-138.2	-72	17
-96.6	113.3	240.1	103.4	-117.5	131.4
